Algorithm,Steps
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,0.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,2.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,0.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,2.0
Depth-First Search,0.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,0.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,2.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,2.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,0.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,0.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,0.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,2.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,2.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,0.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,0.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,0.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,2.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,0.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,0.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,2.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,0.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,0.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,0.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,2.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,0.0
Depth-First Search,20.0
Depth-First Search,0.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,2.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,0.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,2.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,0.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,0.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,2.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,0.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,2.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,0.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,2.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,0.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,0.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,0.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,2.0
Depth-First Search,0.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,0.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,2.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,0.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,0.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Heuristic Search (Incorrect Num),6.0
Heuristic Search (Incorrect Num),10.0
Heuristic Search (Incorrect Num),10.0
Heuristic Search (Incorrect Num),4.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),2.0
Heuristic Search (Incorrect Num),2.0
Heuristic Search (Incorrect Num),6.0
Heuristic Search (Incorrect Num),6.0
Heuristic Search (Incorrect Num),12.0
Heuristic Search (Incorrect Num),6.0
Heuristic Search (Incorrect Num),4.0
Heuristic Search (Incorrect Num),6.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),4.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),10.0
Heuristic Search (Incorrect Num),4.0
Heuristic Search (Incorrect Num),0.0
Heuristic Search (Incorrect Num),2.0
Heuristic Search (Incorrect Num),6.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),6.0
Heuristic Search (Incorrect Num),2.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),10.0
Heuristic Search (Incorrect Num),2.0
Heuristic Search (Incorrect Num),6.0
Heuristic Search (Incorrect Num),14.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),10.0
Heuristic Search (Incorrect Num),2.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),4.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),6.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),2.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),2.0
Heuristic Search (Incorrect Num),2.0
Heuristic Search (Incorrect Num),6.0
Heuristic Search (Incorrect Num),2.0
Heuristic Search (Incorrect Num),2.0
Heuristic Search (Incorrect Num),6.0
Heuristic Search (Incorrect Num),4.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),4.0
Heuristic Search (Incorrect Num),2.0
Heuristic Search (Incorrect Num),4.0
Heuristic Search (Incorrect Num),6.0
Heuristic Search (Incorrect Num),12.0
Heuristic Search (Incorrect Num),10.0
Heuristic Search (Incorrect Num),4.0
Heuristic Search (Incorrect Num),6.0
Heuristic Search (Incorrect Num),10.0
Heuristic Search (Incorrect Num),4.0
Heuristic Search (Incorrect Num),6.0
Heuristic Search (Incorrect Num),10.0
Heuristic Search (Incorrect Num),4.0
Heuristic Search (Incorrect Num),2.0
Heuristic Search (Incorrect Num),4.0
Heuristic Search (Incorrect Num),6.0
Heuristic Search (Incorrect Num),12.0
Heuristic Search (Incorrect Num),4.0
Heuristic Search (Incorrect Num),2.0
Heuristic Search (Incorrect Num),10.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),6.0
Heuristic Search (Incorrect Num),12.0
Heuristic Search (Incorrect Num),0.0
Heuristic Search (Incorrect Num),2.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),14.0
Heuristic Search (Incorrect Num),4.0
Heuristic Search (Incorrect Num),6.0
Heuristic Search (Incorrect Num),6.0
Heuristic Search (Incorrect Num),6.0
Heuristic Search (Incorrect Num),10.0
Heuristic Search (Incorrect Num),0.0
Heuristic Search (Incorrect Num),12.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),6.0
Heuristic Search (Incorrect Num),4.0
Heuristic Search (Incorrect Num),6.0
Heuristic Search (Incorrect Num),2.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),4.0
Heuristic Search (Incorrect Num),6.0
Heuristic Search (Incorrect Num),10.0
Heuristic Search (Incorrect Num),4.0
Heuristic Search (Incorrect Num),2.0
Heuristic Search (Incorrect Num),6.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),2.0
Heuristic Search (Incorrect Num),4.0
Heuristic Search (Incorrect Num),4.0
Heuristic Search (Incorrect Num),6.0
Heuristic Search (Incorrect Num),4.0
Heuristic Search (Incorrect Num),4.0
Heuristic Search (Incorrect Num),4.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),6.0
Heuristic Search (Incorrect Num),10.0
Heuristic Search (Incorrect Num),6.0
Heuristic Search (Incorrect Num),14.0
Heuristic Search (Incorrect Num),6.0
Heuristic Search (Incorrect Num),0.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),6.0
Heuristic Search (Incorrect Num),10.0
Heuristic Search (Incorrect Num),12.0
Heuristic Search (Incorrect Num),10.0
Heuristic Search (Incorrect Num),2.0
Heuristic Search (Incorrect Num),4.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),6.0
Heuristic Search (Incorrect Num),4.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),4.0
Heuristic Search (Incorrect Num),2.0
Heuristic Search (Incorrect Num),10.0
Heuristic Search (Incorrect Num),2.0
Heuristic Search (Incorrect Num),2.0
Heuristic Search (Incorrect Num),14.0
Heuristic Search (Incorrect Num),6.0
Heuristic Search (Incorrect Num),10.0
Heuristic Search (Incorrect Num),10.0
Heuristic Search (Incorrect Num),8.0
Heuristic Search (Incorrect Num),10.0
Heuristic Search (Incorrect Num),4.0
Heuristic Search (Incorrect Num),6.0
Heuristic Search (Incorrect Num),6.0
Heuristic Search (Incorrect Num),10.0
Heuristic Search (Incorrect Num),2.0
Heuristic Search (Incorrect Num),2.0
