Size,TestID,Success,Time(ms),Memory(KB),SolutionFound
16,24,Yes,712,404,Yes
16,25,Yes,719,404,Yes
16,26,Yes,721,404,Yes
16,27,Yes,750,404,Yes
16,28,Yes,869,404,Yes
16,29,Yes,697,404,Yes
16,30,Yes,721,404,Yes
16,31,Yes,696,404,Yes
16,32,Yes,733,416,Yes
16,33,Yes,706,404,Yes
16,34,Yes,677,416,Yes
16,35,Yes,804,400,Yes
16,36,Yes,715,416,Yes
16,37,Yes,730,404,Yes
16,38,Yes,749,408,Yes
16,39,Yes,730,404,Yes
16,40,Yes,728,312,Yes
16,41,Yes,703,308,Yes
16,42,Yes,829,312,Yes
16,43,Yes,714,312,Yes
16,44,Yes,677,320,Yes
16,45,Yes,675,312,Yes
16,46,Yes,688,304,Yes
16,47,Yes,731,300,Yes
16,48,Yes,732,308,Yes
16,49,Yes,700,320,Yes
16,50,Yes,688,320,Yes
