Size,TestID,Success,Time(ms),Memory(KB),SolutionFound
16,27,Yes,0,164,Yes
16,28,Yes,1,164,Yes
16,29,Yes,1,164,Yes
16,30,Yes,0,164,Yes
16,31,Yes,3,164,Yes
16,32,Yes,0,164,Yes
16,33,Yes,1,164,Yes
16,34,Yes,4,164,Yes
16,35,Yes,1,164,Yes
16,36,Yes,0,164,Yes
16,37,Yes,1,164,Yes
16,38,Yes,1,164,Yes
16,39,Yes,174,164,Yes
16,40,Yes,15,164,Yes
16,41,Yes,4,164,Yes
16,42,Yes,5,164,Yes
16,43,No,6,164,No
16,44,Yes,1,164,Yes
16,45,Yes,1,164,Yes
16,46,No,4,164,No
16,47,Yes,2,164,Yes
16,48,Yes,5,164,Yes
16,49,Yes,2,164,Yes
16,50,Yes,0,164,Yes
